,lon,lat,do_we_have_an_observation_in_middle_fifth,terminus_gt_change_per_year_early,terminus_gt_change_per_year_early_area_error,terminus_gt_change_per_year_late,terminus_gt_change_per_year_late_area_error,2000_2010_mean_flux_gt,2010_2020_mean_flux_gt,Frontal_ablation_2000_to_2010_gt_per_yr_mean,Frontal_ablation_2000_to_2010_gt_per_yr_mean_err,Frontal_ablation_2010_to_2020_gt_per_yr_mean,Frontal_ablation_2010_to_2020_gt_per_yr_mean_err,RGIId,Number_of_children
0,-132.79069073148898,57.503521878898745,,0.0003200301421560055,0.0035086052234745407,-0.002061394311119261,0.009551625018379632,0.0749246312368558,0.07321061975213625,0.0746046010946998,0.011427248434956126,0.07527201406325551,0.010179406638614098,RGI60-01.03377,
1,-132.35439073955118,56.836467441270855,,0.00035073352220510673,0.0009332185396678732,4.25295134635214e-05,0.0010234900008735761,0.00590836398346787,0.0015506440786289596,0.005557630461262763,0.004374557836602972,0.0015081145651654382,0.002333237154384893,RGI60-01.03622,
2,-133.16519057250937,57.93107169588714,,-0.000597739198201584,0.003643450543472637,-0.00015515515636418012,0.0007166954555743846,0.00047388663445154514,0.001842822961210785,0.001071625832653129,0.0036511469428535752,0.001997978117574965,0.001977283197320672,RGI60-01.03890,2.0
3,-133.06670032211608,57.832217399335526,,0.0016272445912454206,0.009974526202557444,-0.0018597680375434349,0.010139816680004677,0.12441243870851718,0.15056130585912916,0.12278519411727176,0.013954610339869446,0.1524210738966726,0.011127122074029376,RGI60-01.04375,
4,-148.7151930385063,60.65460938466589,,-1.518003724632333e-05,0.00047165961182350113,-0.0001359586050843203,0.000400914484654914,0.0001538599113373577,0.0009591260576637447,0.000169039948583681,0.0019715999613994324,0.001095084662748065,0.0021584961862181687,RGI60-01.09426,
5,-148.68764725802558,60.644356903011754,,0.00017439783558566345,0.000512992221989742,-0.0001557786494168877,0.0004576739918520592,0.00022129720820133016,0.0003404770302597486,4.6899372615666715e-05,0.0005586890675319105,0.0004962556796766363,0.0005704297423454501,RGI60-01.09519,
6,-148.42032966301792,60.274929241897816,,-0.002224345852341702,0.002406319137655719,-0.001903228854333797,0.002416339498820772,0.23757113134046584,0.20362276763780637,0.23979547719280755,0.01356060505419775,0.20552599649214018,0.006249820519859171,RGI60-01.09639,
7,-148.45919493812013,60.178622563316075,,-0.00016007951051607932,0.0007008267859548416,-6.585048473966422e-05,0.0007287136786572721,0.01135924323228801,0.005130041953742628,0.01151932274280409,0.008183773634393331,0.005195892438482293,0.004537491702751268,RGI60-01.09757,
8,-148.45147272395144,60.97146680072354,,0.0002619075004498737,0.0009110854947349558,-0.0001355535115282874,0.0010634602145538664,0.00848488119321714,0.0013384783591742985,0.008222973692767267,0.011290334809357764,0.001474031870702586,0.008779762902541606,RGI60-01.09783,
9,-148.40018726278325,60.11543708103847,,-0.0016741359212728137,0.0022464938383315314,-0.004213391104861737,0.004176094786533892,0.003117373843691349,0.0044714442630972556,0.0047915097649641625,0.004382281682464472,0.008684835367958992,0.004680067955468746,RGI60-01.09798,
10,-148.44322809374,61.05481508278414,,-1.9946769581208616e-06,0.0012219505354042228,-0.0030768622825599655,0.0038851539458336377,0.00784141679671849,0.02005609386186454,0.007843411473676612,0.020358960797095135,0.023132956144424503,0.00698616773491337,RGI60-01.09810,
11,-148.17707863696359,61.12114881747693,,-0.0004420989452481761,0.0006210608383434003,-0.0002023804377004952,0.0005922914416072264,0.0009228086367685845,0.00023381797764695286,0.0013649075820167606,0.0011123364351753027,0.00043619841534744806,0.0006367731138106236,RGI60-01.10188,
12,-148.12135404831227,61.12229582258549,,-0.00020371598600764124,0.0003674898613149023,-2.013553870411186e-05,0.0003141162124054876,0.0007621502679508296,0.00022537679016171216,0.0009658662539584708,0.0008461216396634514,0.00024551232886582404,0.0003337179486960036,RGI60-01.10299,
13,-148.12604344865875,61.151084847911015,,-0.003607074889605386,0.00954506855734534,-0.0043693098940463995,0.0060185969477405,0.07365007739140636,0.07905256269665256,0.07725715228101175,0.015157980407775115,0.08342187259069896,0.007517299499280444,RGI60-01.10325,
14,-147.87203603456047,61.18860178416978,,6.966457230277859e-05,0.00025454505585525126,-9.013047553695266e-05,0.00028191681176271293,0.0006123210682000874,0.0004299166525978401,0.0005426564958973088,0.0006631216148053455,0.0005200471281347928,0.0005141064256896473,RGI60-01.10355,
15,-147.81164305031155,61.23274005266407,,0.0006648203498248227,0.0007344232655927349,0.0002408586754607378,0.0006556761772493453,0.0007297485179540751,0.0008200452651441205,6.49281681292524e-05,0.001035331073859983,0.0005791865896833826,0.0010499454682494733,RGI60-01.10402,
16,-147.77647332284928,61.253046906953806,,6.990461610782085e-05,0.0005439843656151195,-0.0019355561180332556,0.0018751714209755414,0.00018442293021089413,0.0001799981365046504,0.00011451831410307328,0.0005743960369129094,0.002115554254537906,0.001883790643141795,RGI60-01.10431,
17,-147.696212619919,61.284033143577005,1.0,0.006871969286226916,0.003814516158948507,0.00520844124515807,0.003777884672805616,0.5680458221540617,0.5164414311473216,0.5611738528678348,0.014078378233850082,0.5112329899021635,0.012258477309776746,RGI60-01.10575,
18,-147.5099339691674,61.15145722991336,,-1.393612805337751e-05,0.0009009522649744824,0.0005715923833585091,0.0014465839383465064,0.08973000110762389,0.06278446472636696,0.08974393723567727,0.009420145415197582,0.06221287234300846,0.0034918730916409916,RGI60-01.10607,
